"Section","key","English (reference — do not edit)","Khmer (edit here)","Chinese (edit here)","Notes for Claude"
"About — careers","careers.cta.description","Send your resume with related references and a cover letter to our HR team.","សូមផ្ញើប្រវត្តិរូបសង្ខេបរបស់អ្នក ជាមួយឯកសារយោងពាក់ព័ន្ធ និងលិខិតណែនាំខ្លួនទៅកាន់ក្រុមធនធានមនុស្សរបស់យើង។","请将您的个人简历连同相关推荐资料及求职信发送给我们的人力资源团队。",""
"About — careers","careers.cta.heading","Ready to Apply?","ត្រៀមដាក់ពាក្យហើយឬនៅ?","准备好应聘了吗？",""
"About — careers","careers.intro","Roomchang Dental Hospital is a state-of-the-art dental hospital with over 3 decades of experience and a strong commitment to providing quality dentistry to everyone. We are always interested in hearing from potential applicants.","មន្ទីរពេទ្យធ្មេញ Roomchang គឺជាមន្ទីរពេទ្យធ្មេញទំនើបបំផុត ដែលមានបទពិសោធន៍ជាង ៣ ទសវត្សរ៍ និងការប្តេជ្ញាចិត្តយ៉ាងមុតមាំក្នុងការផ្តល់សេវាព្យាបាលធ្មេញប្រកបដោយគុណភាពដល់អ្នករាល់គ្នា។ យើងតែងតែមានចំណាប់អារម្មណ៍ស្តាប់ពីបេក្ខជនដែលមានសក្តានុពល។","Roomchang 牙科医院是一家拥有逾30年经验的现代化牙科医院，始终致力于为每一位患者提供优质的牙科诊疗服务。我们随时欢迎有志之士前来应聘。",""
"About — careers","careers.title","Employment Opportunities","ឱកាសការងារ","招聘职位",""
"About — careers","careers.viewDetails","View Details","មើលព័ត៌មានលម្អិត","查看详情",""
"About — director's message","directorMessage.backLink","About","អំពីយើង","关于我们",""
"About — director's message","directorMessage.cta.button","Our Doctors","ទន្តបណ្ឌិតរបស់យើង","我们的医生",""
"About — director's message","directorMessage.cta.description","Get to know the specialist dentists Dr. Tith has assembled.","ស្គាល់ឱ្យកាន់តែច្បាស់អំពីទន្តបណ្ឌិតឯកទេសដែលទន្តបណ្ឌិត Tith បានប្រមូលផ្តុំ។","了解 Tith 医生所汇聚的专科牙医团队。",""
"About — director's message","directorMessage.cta.title","Meet the full team","ជួបជាមួយក្រុមការងារពេញលេញ","认识完整团队",""
"About — director's message","directorMessage.heading","Message from Our Director","សារពីនាយកប្រតិបត្តិរបស់យើង","院长寄语",""
"About — director's message","directorMessage.letter.paragraph1","Thank you for entrusting your dental care to Roomchang. Over the last three decades, we have always had a strong commitment to providing quality dentistry to everyone — regardless of background, nationality, or the complexity of the case.","សូមអរគុណចំពោះការទុកចិត្តប្រគល់ការថែទាំធ្មេញរបស់លោកអ្នកមកកាន់ Roomchang។ ក្នុងរយៈពេលបីទសវត្សរ៍កន្លងមកនេះ យើងតែងតែមានការប្តេជ្ញាចិត្តយ៉ាងមុតមាំក្នុងការផ្តល់សេវាព្យាបាលធ្មេញប្រកបដោយគុណភាពដល់មនុស្សគ្រប់រូប — ដោយមិនគិតពីប្រវត្តិ សញ្ជាតិ ឬភាពស្មុគស្មាញនៃករណីនោះឡើយ។","感谢您将口腔健康托付给 Roomchang。在过去的三十年里，我们始终坚定承诺，为每一位患者提供优质的牙科治疗——无论其背景、国籍，或病例的复杂程度如何。",""
"About — director's message","directorMessage.letter.paragraph2","When I founded Roomchang in 1996, my goal was simple: to build a dental hospital in Cambodia that could match the standard of care available anywhere in the world. That vision hasn't changed. What has changed is the scale at which we can deliver it — five branches, 74 chairs, a full in-house digital laboratory, and a team of 37 specialist dentists.","នៅពេលដែលខ្ញុំបានបង្កើត Roomchang ក្នុងឆ្នាំ ១៩៩៦ គោលដៅរបស់ខ្ញុំគឺសាមញ្ញ៖ ដើម្បីកសាងមន្ទីរពេទ្យធ្មេញមួយនៅកម្ពុជា ដែលអាចស្មើនឹងស្តង់ដារនៃការថែទាំដែលមាននៅគ្រប់ទីកន្លែងលើពិភពលោក។ ចក្ខុវិស័យនោះមិនបានផ្លាស់ប្តូរឡើយ។ អ្វីដែលបានផ្លាស់ប្តូរនោះគឺទំហំដែលយើងអាចផ្តល់ជូនវា — សាខាចំនួនប្រាំ កៅអីព្យាបាល ៧៤ មន្ទីរពិសោធន៍ឌីជីថលផ្ទៃក្នុងពេញលេញ និងក្រុមទន្តបណ្ឌិតឯកទេសចំនួន ៣៧ រូប។","1996 年我创立 Roomchang 时，目标很简单：在柬埔寨建立一家能够媲美世界任何地方诊疗水准的牙科医院。这一愿景从未改变。改变的是我们实现它的规模——五家分院、74 张牙椅、一座完整的院内数字化技工室，以及一支由 37 位专科医生组成的团队。",""
"About — director's message","directorMessage.letter.paragraph3","We maintain strict ethical codes and invest continuously in the latest equipment and procedures. Our partnership with Prof. Nentwig and Goethe University of Frankfurt, Germany has been instrumental in shaping Roomchang's clinical philosophy — bringing European standards of implantology and oral surgery to our daily practice.","យើងរក្សាក្រមសីលធម៌យ៉ាងតឹងរ៉ឹង និងវិនិយោគជាបន្តបន្ទាប់លើបរិក្ខារ និងនីតិវិធីទំនើបបំផុត។ ភាពជាដៃគូរបស់យើងជាមួយ Prof. Nentwig និងសាកលវិទ្យាល័យ Goethe ទីក្រុង Frankfurt ប្រទេសអាល្លឺម៉ង់ បានដើរតួនាទីយ៉ាងសំខាន់ក្នុងការបង្កើតទស្សនវិជ្ជាគ្លីនិករបស់ Roomchang — ដោយនាំយកស្តង់ដារអឺរ៉ុបនៃការដាំធ្មេញ និងការវះកាត់មាត់ ចូលក្នុងការអនុវត្តប្រចាំថ្ងៃរបស់យើង។","我们恪守严格的职业道德准则，并持续投入最先进的设备与诊疗技术。我们与 Prof. Nentwig 及德国法兰克福歌德大学的合作，对塑造 Roomchang 的临床理念起到了关键作用——将欧洲的种植学与口腔外科标准融入我们的日常诊疗之中。",""
"About — director's message","directorMessage.letter.paragraph4","Every member of our team — from our specialists to our front-desk staff — shares a belief that dentistry should be transparent, accessible, and delivered with genuine care. We don't just treat teeth; we build trust.","សមាជិកគ្រប់រូបនៃក្រុមរបស់យើង — ចាប់ពីអ្នកឯកទេសរហូតដល់បុគ្គលិកទទួលភ្ញៀវ — សុទ្ធតែមានជំនឿរួមមួយថា ការព្យាបាលធ្មេញគួរតែមានតម្លាភាព ងាយស្រួលទទួលបាន និងផ្តល់ជូនដោយការយកចិត្តទុកដាក់ពិតប្រាកដ។ យើងមិនត្រឹមតែព្យាបាលធ្មេញប៉ុណ្ណោះទេ ប៉ុន្តែយើងកសាងទំនុកចិត្ត។","我们团队的每一位成员——从专科医生到前台接待人员——都秉持同一个信念：牙科诊疗应当透明、可及，并以真诚的关怀去提供。我们不仅治疗牙齿，更在建立信任。",""
"About — director's message","directorMessage.letter.paragraph5","I'm grateful for the support our patients have given us over the years. It is your confidence in us that drives us to keep improving, keep innovating, and keep showing up every day with the same commitment we started with.","ខ្ញុំមានความដឹងគុណចំពោះការគាំទ្រដែលអ្នកជំងឺរបស់យើងបានផ្តល់ឱ្យយើងពេញមួយឆ្នាំកន្លងមក។ វាគឺជាទំនុកចិត្តរបស់លោកអ្នកលើយើង ដែលជំរុញឱ្យយើងបន្តកែលម្អ បន្តច្នៃប្រឌិត និងបន្តបង្ហាញវត្តមានជារៀងរាល់ថ្ងៃ ដោយការប្តេជ្ញាចិត្តដូចគ្នានឹងពេលដែលយើងបានចាប់ផ្តើម។","多年来患者给予我们的支持，令我深怀感激。正是您对我们的信任，激励着我们不断改进、不断创新，并始终如一地秉持着创立之初的那份承诺，日复一日地坚守岗位。",""
"About — director's message","directorMessage.letter.salutation","Dear Patients,","ជូនចំពោះអ្នកជំងឺជាទីគោរព,","尊敬的各位患者：",""
"About — director's message","directorMessage.letter.signatureName","Dr. Tith Hong Yoeu","ទន្តបណ្ឌិត Tith Hong Yoeu","Tith Hong Yoeu 医生",""
"About — director's message","directorMessage.letter.signatureTitle","Director, Roomchang Dental Hospital","នាយក មន្ទីរពេទ្យធ្មេញ Roomchang","院长，Roomchang 牙科医院",""
"About — director's message","directorMessage.portrait.alt","Dr. Tith Hong Yoeu — Founder & Director, Roomchang Dental Hospital","ទន្តបណ្ឌិត Tith Hong Yoeu — ស្ថាបនិក និងនាយក មន្ទីរពេទ្យធ្មេញ Roomchang","Tith Hong Yoeu 医生 — Roomchang 牙科医院创始人兼院长",""
"About — director's message","directorMessage.portrait.degree","MSc. in Oral Implantology","បរិញ្ញាបត្រជាន់ខ្ពស់ផ្នែកការដាំធ្មេញ (Oral Implantology)","口腔种植学硕士（MSc.）",""
"About — director's message","directorMessage.portrait.institution","Goethe University Frankfurt, Germany","សាកលវិទ្យាល័យ Goethe ទីក្រុង Frankfurt ប្រទេសអាល្លឺម៉ង់","德国法兰克福歌德大学（Goethe University Frankfurt）",""
"About — director's message","directorMessage.portrait.name","Dr. Tith Hong Yoeu","ទន្តបណ្ឌិត Tith Hong Yoeu","Tith Hong Yoeu 医生",""
"About — director's message","directorMessage.portrait.role","Founder & Director","ស្ថាបនិក និងនាយក","创始人兼院长",""
"About — facilities","facilities.buildingHero.address","No. 4, Street 184, Khan Daun Penh, Phnom Penh","លេខ ៤ ផ្លូវ ១៨៤ ខណ្ឌដូនពេញ ភ្នំពេញ","金边市顿奔区 184 街 4 号",""
"About — facilities","facilities.buildingHero.eyebrow","Main Hospital","មន្ទីរពេទ្យកណ្តាល","主医院",""
"About — facilities","facilities.buildingHero.imageAlt","Roomchang Dental Hospital — 10-storey building, Sisowath High School, Phnom Penh","មន្ទីរពេទ្យធ្មេញ Roomchang — អគារ ១០ ជាន់ វិទ្យាល័យព្រះស៊ីសុវត្ថិ ភ្នំពេញ","Roomchang 牙科医院——10 层建筑，西索瓦中学，金边",""
"About — facilities","facilities.buildingHero.title","10-Storey Building","អគារ ១០ ជាន់","10 层建筑",""
"About — facilities","facilities.gallery.abroad.alt","Roomchang treatment room — international patient care","បន្ទប់ព្យាបាល Roomchang — ការថែទាំអ្នកជំងឺអន្តរជាតិ","Roomchang 诊疗室——国际患者护理",""
"About — facilities","facilities.gallery.room_a.alt","Roomchang dental chair and treatment suite","កៅអី និងបន្ទប់ព្យាបាលធ្មេញរបស់ Roomchang","Roomchang 牙科治疗椅与诊疗室",""
"About — facilities","facilities.gallery.room_b.alt","Modern dental treatment room at Roomchang","បន្ទប់ព្យាបាលធ្មេញទំនើបនៅ Roomchang","Roomchang 现代化牙科诊疗室",""
"About — facilities","facilities.gallery.room_c.alt","Specialist dental suite with advanced equipment","បន្ទប់ព្យាបាលធ្មេញឯកទេស ជាមួយបរិក្ខារទំនើប","配备先进设备的专科牙科诊疗室",""
"About — facilities","facilities.hero.backLink","About","ទំព័រដើម","首页",""
"About — facilities","facilities.hero.intro","A purpose-built, 10-storey dental hospital in the heart of Phnom Penh — equipped with advanced digital technology from Germany and hospital-grade sterilisation throughout.","មន្ទីរពេទ្យធ្មេញ ១០ ជាន់ ដែលសាងសង់ឡើងជាពិសេស នៅចំកណ្តាលក្រុងភ្នំពេញ — បំពាក់ដោយបច្ចេកវិទ្យាឌីជីថលទំនើបពីប្រទេសអាល្លឺម៉ង់ និងការសម្លាប់មេរោគតាមស្តង់ដារមន្ទីរពេទ្យ នៅគ្រប់ទីកន្លែង។","一座专为牙科打造的 10 层牙科医院，坐落于金边市中心——全院配备来自德国的先进数字化技术，并采用医院级消毒标准。",""
"About — facilities","facilities.hero.title","Our Facilities","កន្លែងសម្ភារៈ និងបរិក្ខាររបស់យើង","我们的设施",""
"About — facilities","facilities.locations.discoverCta","Discover This Location","ស្វែងយល់ពីទីតាំងនេះ","了解该分院",""
"About — facilities","facilities.locations.eyebrow","Our Locations","ទីតាំងរបស់យើង","我们的分院",""
"About — facilities","facilities.locations.intro","Every Roomchang branch delivers the same specialist care and hospital-grade standards — with the same team quality, equipment, and sterilisation protocols.","សាខា Roomchang នីមួយៗផ្តល់នូវការថែទាំឯកទេស និងស្តង់ដារកម្រិតមន្ទីរពេទ្យដូចគ្នា — ជាមួយគុណភាពក្រុមការងារ បរិក្ខារ និងពិធីការសម្លាប់មេរោគដូចគ្នា។","每一家 Roomchang 分院都提供同样的专科护理与医院级标准——拥有同样的团队素质、设备和消毒规程。",""
"About — facilities","facilities.locations.title","Five Branches Across Phnom Penh","សាខាទាំងប្រាំនៅទូទាំងក្រុងភ្នំពេញ","金边五家分院",""
"About — facilities","facilities.quality.body","Roomchang follows strict sterilisation, infection control, and clinical protocols — the same standards expected of leading international dental hospitals.","Roomchang អនុវត្តតាមការសម្លាប់មេរោគ ការគ្រប់គ្រងការឆ្លងមេរោគ និងពិធីការព្យាបាលដ៏តឹងរ៉ឹង — ដែលជាស្តង់ដារដូចគ្នានឹងមន្ទីរពេទ្យធ្មេញអន្តរជាតិឈានមុខគេ។","Roomchang 严格遵循消毒、感染控制及临床规程——与国际一流牙科医院所要求的标准一致。",""
"About — facilities","facilities.quality.cta","Book a Tour","កក់ដើម្បីទស្សនកិច្ច","预约参观",""
"About — facilities","facilities.quality.eyebrow","Quality Assurance","ការធានាគុណភាព","质量保证",""
"About — facilities","facilities.quality.title","Hospital-Grade Standards","ស្តង់ដារកម្រិតមន្ទីរពេទ្យ","医院级标准",""
"About — facilities","facilities.sections.comfort.items.children","Dedicated children's treatment rooms","បន្ទប់ព្យាបាលដែលរៀបចំជាពិសេសសម្រាប់កុមារ","专设儿童诊疗室",""
"About — facilities","facilities.sections.comfort.items.emr","Electronic Medical Record (EMR) system","ប្រព័ន្ធកំណត់ត្រាវេជ្ជសាស្ត្រអេឡិចត្រូនិក (EMR)","电子病历（EMR）系统",""
"About — facilities","facilities.sections.comfort.items.multilingual","Multilingual staff: Khmer, English, French, Chinese, Japanese, German","បុគ្គលិកចេះច្រើនភាសា៖ ខ្មែរ អង់គ្លេស បារាំង ចិន ជប៉ុន អាល្លឺម៉ង់","多语种员工：高棉语、英语、法语、中文、日语、德语",""
"About — facilities","facilities.sections.comfort.items.parking","Underground parking for 15 vehicles","កន្លែងចតរថយន្តក្រោមដី សម្រាប់រថយន្ត ១៥ គ្រឿង","可停放 15 辆车的地下停车场",""
"About — facilities","facilities.sections.comfort.items.wheelchair","Full wheelchair accessibility","លទ្ធភាពចូលប្រើពេញលេញសម្រាប់រទេះរុញ","全方位轮椅无障碍通行",""
"About — facilities","facilities.sections.comfort.items.whitening","Beyond® professional whitening system","ប្រព័ន្ធធ្វើឱ្យធ្មេញសវិជ្ជាជីវៈ Beyond®","Beyond® 专业美白系统",""
"About — facilities","facilities.sections.comfort.title","Patient Comfort & Access","ភាពស្រួល និងលទ្ធភាពចូលប្រើរបស់អ្នកជំងឺ","患者舒适与无障碍",""
"About — facilities","facilities.sections.digital_lab.items.aligner","Clear Aligner (CA) fabrication","ការផលិត Clear Aligner (CA)","Clear Aligner (CA) 制作",""
"About — facilities","facilities.sections.digital_lab.items.cad_cam","CAD/CAM technology from Germany","បច្ចេកវិទ្យា CAD/CAM ពីប្រទេសអាល្លឺម៉ង់","来自德国的 CAD/CAM 技术",""
"About — facilities","facilities.sections.digital_lab.items.printers","3D printers for precision restorations","ម៉ាស៊ីនបោះពុម្ព 3D សម្រាប់ការស្តារឡើងវិញដ៏ត្រឹមត្រូវ","用于精密修复的 3D 打印机",""
"About — facilities","facilities.sections.digital_lab.items.scanners","Digital intraoral scanners","ម៉ាស៊ីនស្កេនក្នុងមាត់ប្រព័ន្ធឌីជីថល","数字化口内扫描仪",""
"About — facilities","facilities.sections.digital_lab.title","In-House Digital Laboratory","មន្ទីរពិសោធន៍ឌីជីថលផ្ទៃក្នុង","院内数字化技工室",""
"About — facilities","facilities.sections.imaging.items.cbct","3D cone-beam CT imaging (CBCT)","ការថតរូបភាព CT កាំរស្មីសាជី 3D (CBCT)","3D 锥形束 CT 影像（CBCT）",""
"About — facilities","facilities.sections.imaging.items.ceph","Cephalometric radiography","ការថតកាំរស្មីអ៊ិចលលាដ៍ក្បាល (Cephalometric)","头颅侧位测量 X 光摄影",""
"About — facilities","facilities.sections.imaging.items.opg","Digital panoramic X-ray (OPG)","ការថតកាំរស្មីអ៊ិចទូទាំងមាត់ប្រព័ន្ធឌីជីថល (OPG)","数字化全景 X 光（OPG）",""
"About — facilities","facilities.sections.imaging.items.periapical","Digital periapical and bitewing X-rays","ការថតកាំរស្មីអ៊ិចចុងឫសធ្មេញ និងបាយវើតប្រព័ន្ធឌីជីថល","数字化根尖片与咬翼片 X 光",""
"About — facilities","facilities.sections.imaging.title","Diagnostic Imaging","ការថតរូបភាពវិនិច្ឆ័យ","诊断影像",""
"About — facilities","facilities.sections.sterilisation.items.all_instruments","All instruments sterilised for invasive and non-invasive procedures","ឧបករណ៍ទាំងអស់ត្រូវបានសម្លាប់មេរោគ សម្រាប់នីតិវិធីដែលជ្រៀតចូល និងមិនជ្រៀតចូលក្នុងរាងកាយ","所有器械均经过消毒，适用于侵入性与非侵入性诊疗",""
"About — facilities","facilities.sections.sterilisation.items.autoclave","Hospital-grade autoclave sterilisation","ការសម្លាប់មេរោគដោយម៉ាស៊ីន Autoclave តាមស្តង់ដារមន្ទីរពេទ្យ","医院级高压蒸汽灭菌消毒",""
"About — facilities","facilities.sections.sterilisation.items.cross_infection","Strict cross-infection control protocols","ពិធីការគ្រប់គ្រងការឆ្លងមេរោគឆ្លងគ្នាដ៏តឹងរ៉ឹង","严格的交叉感染控制规程",""
"About — facilities","facilities.sections.sterilisation.items.daily_cleaning","Daily cleaning and disinfection of the entire hospital","ការសម្អាត និងសម្លាប់មេរោគមន្ទីរពេទ្យទាំងមូលប្រចាំថ្ងៃ","全院每日清洁与消毒",""
"About — facilities","facilities.sections.sterilisation.items.steam","High-pressure saturated steam processing","ការដំណើរការដោយចំហាយទឹកសម្ពាធខ្ពស់","高压饱和蒸汽处理",""
"About — facilities","facilities.sections.sterilisation.title","Sterilisation & Infection Control","ការសម្លាប់មេរោគ និងការគ្រប់គ្រងការឆ្លងមេរោគ","消毒与感染控制",""
"About — facilities","facilities.stats.building_storeys","Storey Building","ជាន់នៃអគារ","层楼建筑",""
"About — facilities","facilities.stats.dental_chairs","Dental Chairs","កៅអីព្យាបាលធ្មេញ","牙科治疗椅",""
"About — facilities","facilities.stats.specialist_dentists","Specialist Dentists","ទន្តបណ្ឌិតឯកទេស","专科医生",""
"About — facilities","facilities.stats.surgical_theatres","Operation Rooms","បន្ទប់វះកាត់","手术室",""
"About — index","about.facilitiesCta","Discover Our Facilities","ស្វែងយល់ពីមណ្ឌលរបស់យើង","了解我们的设施",""
"About — index","about.hero.body","Founded in 1996 by a vision to bring specialist dental care to Cambodia, Roomchang has grown into the country's most trusted dental group — serving local families and international patients from across Asia, Australia, and beyond.","បង្កើតឡើងក្នុងឆ្នាំ ១៩៩៦ ដោយចក្ខុវិស័យក្នុងការនាំមកនូវសេវាទន្តសាស្ត្រឯកទេសដែលមានគុណភាពខ្ពស់ដល់ប្រជាជនកម្ពុជា Roomchang បានរីកចម្រើនទៅជាក្រុមទន្តបណ្ឌិតដែលគួរឱ្យទុកចិត្តបំផុតរបស់ប្រទេស — បម្រើអ្នកជំងឺក្នុងស្រុក និងអ្នកជំងឺអន្តរជាតិពីអាស៊ី អូស្ត្រាលី និងជុំវិញពិភពលោក។","Roomchang始创于1996年，怀揣将专业牙科医疗引入柬埔寨的愿景，已发展成为该国最受信赖的牙科集团——服务本地家庭以及来自亚洲、澳大利亚及世界各地的国际患者。",""
"About — index","about.hero.eyebrow","Our Story","ប្រវត្តិរបស់Roomchang","我们的故事",""
"About — index","about.hero.heading","About Roomchang","អំពី Roomchang","关于Roomchang",""
"About — index","about.history.heading","A Hospital, Not Just a Clinic","មន្ទីរពេទ្យ មិនមែនគ្រាន់តែគ្លីនិកទេ","不仅是诊所，更是一家医院",""
"About — index","about.history.paragraph1","Roomchang Dental Hospital was built on the belief that Cambodian patients deserved access to the same quality of care available in the most advanced dental centres in the world — without having to travel abroad to get it.","មន្ទីរពេទ្យទន្តសាស្ត្រ Roomchang ត្រូវបានសាងសង់ដោយជំនឿចិត្តថាអ្នកជំងឺកម្ពុជាសមនឹងទទួលបានសេវាថែទាំដែលមានគុណភាពដូចមជ្ឈមណ្ឌលទន្តសាស្ត្រទំនើបៗនៅទូទាំងពិភពលោក — ដោយមិនចាំបាច់ធ្វើដំណើរទៅក្រៅប្រទេសឡើយ។","Roomchang牙科医院建立在这样一个信念之上：柬埔寨患者应当有机会获得与世界最先进牙科中心同等水平的医疗服务——而无需出国。",""
"About — index","about.history.paragraph2","Over nearly 30 years, we've grown from a single practice to a hospital-scale group with five branches across Phnom Penh, an in-house digital laboratory, and a specialist team covering every major dental discipline.","ក្នុងរយៈពេលជិត ៣០ ឆ្នាំ យើងបានរីកចម្រើនពីគ្លីនិកតែមួយទៅក្រុមមន្ទីរពេទ្យដែលមានសាខាទាំង ៥ នៅភ្នំពេញ មន្ទីរពិសោធន៍ឌីជីថលក្នុងមន្ទីរពេទ្យ និងក្រុមឯកទេសគ្របដណ្ដប់គ្រប់ជំនាញទន្តសាស្ត្រសំខាន់ៗ។","近30年来，我们从一间小诊所发展成为拥有五家金边分院的医院级集团，配备院内数字化实验室和覆盖所有主要牙科学科的专科团队。",""
"About — index","about.history.paragraph3","Today, Roomchang treats thousands of patients every month — from routine checkups to complex full-mouth reconstructions — and serves international visitors from more than 20 countries who choose Cambodia for high-quality, cost-effective dental care delivered to the same standards as leading clinics abroad.","សព្វថ្ងៃ Roomchang ព្យាបាលអ្នកជំងឺរាប់ពាន់នាក់ជារៀងរាល់ខែ — ពីការពិនិត្យធម្មតារហូតដល់ការស្ដារមាត់ពេញដ៏ស្មុគស្មាញ — និងបម្រើអ្នកទេសចរអន្តរជាតិពីជាង ២០ ប្រទេសដែលជ្រើសរើសកម្ពុជាសម្រាប់សេវាទន្តសាស្ត្រប្រកបដោយគុណភាពខ្ពស់ ថ្លៃសមរម្យ និងស្តង់ដារដូចគ្លីនិកឈានមុខក្រៅប្រទេស។","如今，Roomchang每月服务数千名患者——从常规检查到复杂的全口重建——并为来自20多个国家的国际患者提供服务，他们选择柬埔寨获得与国外领先诊所同等标准的高质量、高性价比牙科医疗。",""
"About — index","about.meta.description","Established in 1996, Roomchang Dental Hospital is Cambodia's leading dental group — multilingual, technology-first, and rooted in compassionate care.","បង្កើតឡើងក្នុងឆ្នាំ ១៩៩៦ មន្ទីរពេទ្យទន្តសាស្ត្រ Roomchang គឺជាក្រុមទន្តពេទ្យឈានមុខរបស់កម្ពុជា — ពហុភាសា បច្ចេកវិទ្យាទំនើប និងការថែទាំប្រកបដោយការយកចិត្តទុកដាក់។","Roomchang牙科医院创立于1996年，是柬埔寨领先的牙科医疗集团——多语言服务、技术领先，以仁心仁术为本。",""
"About — index","about.meta.title","About Us | Roomchang Dental Hospital","អំពីយើងខ្ញុំ | មន្ទីរពេទ្យទន្តសាស្ត្រ Roomchang","关于我们 | Roomchang牙科医院",""
"About — index","about.section.careers.description","Join Cambodia's leading dental group — clinical fellowships, dental assistant, dentist, and customer service positions available.","ចូលរួមក្រុមទន្តសាស្ត្រឈានមុខរបស់កម្ពុជា — មានមុខតំណែងជាអ្នកជំនាញ ជំនួយការទន្តពេទ្យ ទន្តពេទ្យ និងសេវាកម្មអតិថិជន។","加入柬埔寨领先的牙科医疗集团——提供临床培训、牙科助理、牙医及客户服务等岗位。",""
"About — index","about.section.careers.title","Employment Opportunities","ឱកាសការងារ","招聘信息",""
"About — index","about.section.clinicalResults.description","See real before-and-after cases — dental implants, smile makeovers, orthodontics, and full-mouth reconstructions.","មើលករណីមុន និងក្រោយព្យាបាលពិត — បង្គោលធ្មេញ ផ្លាស់ប្ដូរស្នាមញញឹម តម្រង់ធ្មេញ និងស្ដារមាត់ពេញ។","查看真实的治疗前后对比案例——种植牙、微笑改造、正畸治疗和全口重建。",""
"About — index","about.section.clinicalResults.title","Clinical Results","លទ្ធផលព្យាបាល","临床案例",""
"About — index","about.section.community.description","Free dental care for underserved communities — mobile clinics, blood drives, and oral health education across Cambodia.","ផ្ដល់សេវាព្យាបាលធ្មេញឥតគិតថ្លៃដល់សហគមន៍ក្រីក្រ — គ្លីនិកចល័ត បរិច្ចាគឈាម និងការអប់រំសុខភាពមាត់ធ្មេញទូទាំងប្រទេសកម្ពុជា។","为弱势社区提供免费牙科服务——流动诊所、献血活动以及覆盖柬埔寨各地的口腔健康教育。",""
